NAME	CPU %	MEM USAGE / LIMIT	MEM %	TIME

TBbwa
--------------------
mtbseq_container	1587.17%	1.463GiB / 125.4GiB	1.17%	2025-06-12 22:30:43
mtbseq_container	1497.88%	1.442GiB / 125.4GiB	1.15%	2025-06-12 22:30:49
mtbseq_container	1585.09%	1.467GiB / 125.4GiB	1.17%	2025-06-12 22:30:56
mtbseq_container	1501.79%	1.23GiB / 125.4GiB	0.98%	2025-06-12 22:31:03
mtbseq_container	1157.45%	1.407GiB / 125.4GiB	1.12%	2025-06-12 22:31:09
mtbseq_container	900.09%	1.448GiB / 125.4GiB	1.15%	2025-06-12 22:31:16
mtbseq_container	868.39%	1.477GiB / 125.4GiB	1.18%	2025-06-12 22:31:22
mtbseq_container	826.76%	1.511GiB / 125.4GiB	1.20%	2025-06-12 22:31:29
mtbseq_container	836.98%	1.536GiB / 125.4GiB	1.22%	2025-06-12 22:31:35
mtbseq_container	887.68%	1.558GiB / 125.4GiB	1.24%	2025-06-12 22:31:42
mtbseq_container	1165.77%	1.572GiB / 125.4GiB	1.25%	2025-06-12 22:31:48
mtbseq_container	877.09%	1.575GiB / 125.4GiB	1.26%	2025-06-12 22:31:55
mtbseq_container	891.33%	1.595GiB / 125.4GiB	1.27%	2025-06-12 22:32:02
mtbseq_container	856.92%	1.612GiB / 125.4GiB	1.29%	2025-06-12 22:32:08
mtbseq_container	867.23%	1.632GiB / 125.4GiB	1.30%	2025-06-12 22:32:15
mtbseq_container	812.97%	1.655GiB / 125.4GiB	1.32%	2025-06-12 22:32:21
mtbseq_container	2141.31%	1.672GiB / 125.4GiB	1.33%	2025-06-12 22:32:28
mtbseq_container	831.12%	1.685GiB / 125.4GiB	1.34%	2025-06-12 22:32:34
mtbseq_container	834.02%	1.696GiB / 125.4GiB	1.35%	2025-06-12 22:32:41
mtbseq_container	833.38%	1.715GiB / 125.4GiB	1.37%	2025-06-12 22:32:48
mtbseq_container	819.25%	1.73GiB / 125.4GiB	1.38%	2025-06-12 22:32:54
mtbseq_container	817.08%	1.751GiB / 125.4GiB	1.40%	2025-06-12 22:33:01
mtbseq_container	1583.73%	1.755GiB / 125.4GiB	1.40%	2025-06-12 22:33:07
mtbseq_container	851.08%	1.759GiB / 125.4GiB	1.40%	2025-06-12 22:33:14
mtbseq_container	518.88%	834.7MiB / 125.4GiB	0.65%	2025-06-12 22:33:20
mtbseq_container	582.04%	1.233GiB / 125.4GiB	0.98%	2025-06-12 22:33:27
mtbseq_container	583.74%	1.323GiB / 125.4GiB	1.06%	2025-06-12 22:33:33
mtbseq_container	109.45%	1.354GiB / 125.4GiB	1.08%	2025-06-12 22:33:40
